run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,1.0,accuracy_mean,0.36,0.36,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,1.0,pedagogical_score_mean,3.58,3.58,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,1.0,silent_error_rate,0.28,0.28,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,2.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,2.0,accuracy_mean,0.48,0.48,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,2.0,pedagogical_score_mean,4.62,4.62,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pure_recycling,2.0,silent_error_rate,0.18,0.18,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pvf_medium,0.0,sample_count,50.0,50.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pvf_medium,0.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pvf_medium,0.0,pedagogical_score_mean,5.02,5.02,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pvf_medium,0.0,silent_error_rate,0.16,0.16,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\pvf_confirmatory_seed91_20260427_094105,qwen2.5:0.5b,pvf_medium,1.0,sample_count,50.0,50.0,0.0,ok,1e-06
